pmod_pin,fpga_pin
pmod0_1,28
pmod0_2,26
pmod0_3,39
pmod0_4,37
pmod0_7,27
pmod0_8,25
pmod0_9,36
pmod0_10,38
pmod1_1,42
pmod1_2,35
pmod1_3,34
pmod1_4,30
pmod1_7,41
pmod1_8,40
pmod1_9,33
pmod1_10,29
pmod2_1,32
pmod2_2,57
pmod2_3,55
pmod2_4,53
pmod2_7,31
pmod2_8,56
pmod2_9,54
pmod2_10,51
